"Municipality","Age","2011 Natives Males","2011 Natives Females","2011 Immigrants Males","2011 Immigrants Females","2021 Natives Males","2021 Natives Females","2021 Immigrants Males","2021 Immigrants Females"
"Seltjarnarnesbaer","11 years",204,194,7,8,241,202,10,12
"Seltjarnarnesbaer","12 years",170,190,4,6,221,223,9,13
"Seltjarnarnesbaer","13 years",189,194,14,9,191,202,9,10
"Seltjarnarnesbaer","14 years",190,184,7,9,197,217,8,13
"Seltjarnarnesbaer","15 years",180,182,7,7,189,178,16,10
"Seltjarnarnesbaer","16 years",202,194,6,6,204,196,11,15
"Seltjarnarnesbaer","17 years",198,203,9,12,165,196,10,16
"Seltjarnarnesbaer","18 years",203,200,9,8,171,188,14,10
"Seltjarnarnesbaer","19 years",197,189,11,12,198,174,11,8
"Seltjarnarnesbaer","20 years",178,195,13,12,191,181,19,25
"Seltjarnarnesbaer","21 years",195,211,14,15,169,157,19,15
"Seltjarnarnesbaer","22 years",164,192,11,17,169,177,23,27
"Seltjarnarnesbaer","23 years",182,184,15,26,160,168,35,44
"Seltjarnarnesbaer","24 years",135,141,13,30,147,125,39,33
"Seltjarnarnesbaer","25 years",140,122,25,29,163,135,47,49
"Seltjarnarnesbaer","26 years",130,153,26,29,163,161,50,32
"Seltjarnarnesbaer","27 years",130,166,28,35,158,163,39,44
"Seltjarnarnesbaer","28 years",163,149,31,34,193,159,47,40
"Seltjarnarnesbaer","29 years",184,144,29,23,162,168,56,39
"Seltjarnarnesbaer","30 years",148,157,30,24,169,179,45,30
"Seltjarnarnesbaer","31 years",171,163,33,38,161,144,57,54
"Seltjarnarnesbaer","32 years",168,177,32,34,133,192,52,39
"Seltjarnarnesbaer","33 years",154,129,28,30,158,129,47,45
"Seltjarnarnesbaer","34 years",149,154,34,26,125,133,52,38
"Seltjarnarnesbaer","35 years",160,176,27,31,143,143,56,50
"Seltjarnarnesbaer","36 years",164,145,34,22,160,150,55,45
"Seltjarnarnesbaer","37 years",172,152,27,21,164,145,63,43
"Seltjarnarnesbaer","38 years",186,169,21,25,161,150,55,43
"Seltjarnarnesbaer","39 years",177,186,33,20,151,168,50,40
"Seltjarnarnesbaer","40 years",155,171,16,17,175,147,60,48
"Seltjarnarnesbaer","41 years",148,149,24,21,162,188,59,48
"Seltjarnarnesbaer","42 years",148,126,16,17,157,139,68,49
"Seltjarnarnesbaer","43 years",148,145,16,15,133,162,53,32
"Seltjarnarnesbaer","44 years",160,182,14,20,164,171,47,39
"Seltjarnarnesbaer","45 years",178,170,12,17,161,158,58,35
"Seltjarnarnesbaer","46 years",171,171,12,13,161,153,45,33
"Seltjarnarnesbaer","47 years",162,183,27,14,197,180,37,38
"Seltjarnarnesbaer","48 years",167,172,11,19,180,181,56,42
"Seltjarnarnesbaer","49 years",162,188,16,15,175,160,37,26
"Seltjarnarnesbaer","50 years",170,170,9,18,144,154,31,25
"Seltjarnarnesbaer","51 years",159,163,16,14,150,129,30,24
"Seltjarnarnesbaer","52 years",157,153,20,9,138,137,24,17
"Seltjarnarnesbaer","53 years",138,173,11,16,152,148,23,30
"Seltjarnarnesbaer","54 years",153,162,11,5,154,176,30,21
"Seltjarnarnesbaer","55 years",153,136,15,11,140,144,18,15
"Seltjarnarnesbaer","56 years",127,137,9,10,151,166,28,19
"Seltjarnarnesbaer","57 years",142,113,8,8,147,159,25,24
"Seltjarnarnesbaer","58 years",136,119,6,5,154,177,26,15
"Seltjarnarnesbaer","59 years",112,106,5,2,148,147,18,15
"Seltjarnarnesbaer","60 years",105,129,5,1,141,153,18,18
"Seltjarnarnesbaer","61 years",133,108,4,5,151,137,16,9
"Seltjarnarnesbaer","62 years",116,106,4,2,130,154,12,17
"Seltjarnarnesbaer","63 years",97,125,4,2,128,148,15,6
"Seltjarnarnesbaer","64 years",101,93,4,4,139,129,13,13
"Seltjarnarnesbaer","65 years",106,95,2,5,121,127,9,7
"Seltjarnarnesbaer","66 years",86,101,3,..,124,111,4,4
"Seltjarnarnesbaer","67 years",98,77,2,5,116,124,5,3
"Seltjarnarnesbaer","68 years",68,81,3,2,91,105,4,3
"Seltjarnarnesbaer","69 years",72,82,1,4,97,113,4,3
"Seltjarnarnesbaer","70 years",70,66,1,4,129,104,3,5
"Seltjarnarnesbaer","71 years",56,61,1,2,96,95,3,2
"Seltjarnarnesbaer","72 years",52,53,2,2,90,124,..,2
"Seltjarnarnesbaer","73 years",62,62,1,2,88,85,4,9
"Seltjarnarnesbaer","74 years",61,45,..,4,94,93,1,6
"Seltjarnarnesbaer","75 years",55,59,2,4,81,85,3,..
"Seltjarnarnesbaer","76 years",43,43,..,2,74,69,1,3
"Seltjarnarnesbaer","77 years",52,40,..,1,52,64,1,3
"Seltjarnarnesbaer","78 years",38,55,1,1,60,69,1,3
"Seltjarnarnesbaer","79 years",41,54,..,4,51,60,1,4
"Seltjarnarnesbaer","80 years",39,50,..,..,46,55,1,1
"Seltjarnarnesbaer","81 years",33,44,..,1,38,41,..,1
