Municipality,Age_Group,Background,Year,Sex,Population
Blaskogabyggd,0-15,Immigrants,2021,Males,3
Blaskogabyggd,0-15,Natives,2011,Females,69
Blaskogabyggd,0-15,Natives,2011,Males,59
Blaskogabyggd,0-15,Natives,2021,Females,68
Blaskogabyggd,0-15,Natives,2021,Males,49
Blaskogabyggd,16-24,Immigrants,2011,Females,0
Blaskogabyggd,16-24,Immigrants,2011,Males,1
Blaskogabyggd,16-24,Immigrants,2021,Females,1
Blaskogabyggd,16-24,Immigrants,2021,Males,4
Blaskogabyggd,16-24,Natives,2011,Females,31
Blaskogabyggd,16-24,Natives,2011,Males,40
Blaskogabyggd,16-24,Natives,2021,Females,33
Blaskogabyggd,16-24,Natives,2021,Males,28
Blaskogabyggd,25-34,Immigrants,2011,Females,2
Blaskogabyggd,25-34,Immigrants,2011,Males,0
Blaskogabyggd,25-34,Immigrants,2021,Females,10
Blaskogabyggd,25-34,Immigrants,2021,Males,9
Blaskogabyggd,25-34,Natives,2011,Females,20
Blaskogabyggd,25-34,Natives,2011,Males,25
Blaskogabyggd,25-34,Natives,2021,Females,31
Blaskogabyggd,25-34,Natives,2021,Males,34
Blaskogabyggd,35-44,Immigrants,2011,Females,5
Blaskogabyggd,35-44,Immigrants,2011,Males,1
Blaskogabyggd,35-44,Immigrants,2021,Females,11
Blaskogabyggd,35-44,Immigrants,2021,Males,2
Blaskogabyggd,35-44,Natives,2011,Females,30
Blaskogabyggd,35-44,Natives,2011,Males,38
Blaskogabyggd,35-44,Natives,2021,Females,24
Blaskogabyggd,35-44,Natives,2021,Males,32
Blaskogabyggd,45-54,Immigrants,2011,Females,4
Blaskogabyggd,45-54,Immigrants,2011,Males,1
Blaskogabyggd,45-54,Immigrants,2021,Females,4
Blaskogabyggd,45-54,Immigrants,2021,Males,2
Blaskogabyggd,45-54,Natives,2011,Females,46
Blaskogabyggd,45-54,Natives,2011,Males,49
Blaskogabyggd,45-54,Natives,2021,Females,22
Blaskogabyggd,45-54,Natives,2021,Males,33
Blaskogabyggd,55-64,Immigrants,2011,Females,1
Blaskogabyggd,55-64,Immigrants,2011,Males,1
Blaskogabyggd,55-64,Immigrants,2021,Females,6
Blaskogabyggd,55-64,Immigrants,2021,Males,0
Blaskogabyggd,55-64,Natives,2011,Females,39
Blaskogabyggd,55-64,Natives,2011,Males,54
Blaskogabyggd,55-64,Natives,2021,Females,38
Blaskogabyggd,55-64,Natives,2021,Males,50
Blaskogabyggd,65 and over,Immigrants,2011,Females,3
Blaskogabyggd,65 and over,Immigrants,2011,Males,1
Blaskogabyggd,65 and over,Immigrants,2021,Females,2
Blaskogabyggd,65 and over,Immigrants,2021,Males,2
Blaskogabyggd,65 and over,Natives,2011,Females,63
Blaskogabyggd,65 and over,Natives,2011,Males,65
Blaskogabyggd,65 and over,Natives,2021,Females,68
Blaskogabyggd,65 and over,Natives,2021,Males,67
Blonduosbaer,0-15,Immigrants,2011,Females,4
Blonduosbaer,0-15,Immigrants,2011,Males,7
Blonduosbaer,0-15,Immigrants,2021,Females,17
Blonduosbaer,0-15,Immigrants,2021,Males,19
Blonduosbaer,0-15,Natives,2011,Females,404
Blonduosbaer,0-15,Natives,2011,Males,471
Blonduosbaer,0-15,Natives,2021,Females,338
Blonduosbaer,0-15,Natives,2021,Males,419
Blonduosbaer,16-24,Immigrants,2011,Females,12
Blonduosbaer,16-24,Immigrants,2011,Males,9
Blonduosbaer,16-24,Immigrants,2021,Females,21
Blonduosbaer,16-24,Immigrants,2021,Males,20
Blonduosbaer,16-24,Natives,2011,Females,244
Blonduosbaer,16-24,Natives,2011,Males,307
Blonduosbaer,16-24,Natives,2021,Females,206
Blonduosbaer,16-24,Natives,2021,Males,255
Blonduosbaer,25-34,Immigrants,2011,Females,25
Blonduosbaer,25-34,Immigrants,2011,Males,34
Blonduosbaer,25-34,Immigrants,2021,Females,60
Blonduosbaer,25-34,Immigrants,2021,Males,73
Blonduosbaer,25-34,Natives,2011,Females,165
Blonduosbaer,25-34,Natives,2011,Males,195
Blonduosbaer,25-34,Natives,2021,Females,200
Blonduosbaer,25-34,Natives,2021,Males,230
Blonduosbaer,35-44,Immigrants,2011,Females,16
Blonduosbaer,35-44,Immigrants,2011,Males,13
Blonduosbaer,35-44,Immigrants,2021,Females,34
Blonduosbaer,35-44,Immigrants,2021,Males,82
